"sai_name";"sai_emu_nameshort";"gr_year";"grsa_lfs_code";"gr_number";"length_mm";"weight_g";"age_year";"female_proportion";"differentiated_proportion";"f_mean_length_mm";"f_mean_weight_g";"f_mean_age_year";"m_mean_length_mm";"m_mean_weight_g";"m_mean_age_year";"anguillicola_proportion";"anguillicola_intensity";"muscle_lipid_fatmeter_perc";"muscle_lipid_gravimeter_perc";"sum_6_pcb";"teq";"evex_proportion";"hva_proportion";"pb";"hg";"cd";"g_in_gy_proportion";"s_in_ys_proportion";"gr_comment"
"DE_Eide_Eider_DCF_F_Y";"DE_Eide";2016;"Y";28;636.785714285714;484.607142857143;NA;1;1;636.785714285714;484.607142857143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Eide_Eider_DCF_F_Y";"DE_Eide";2019;"Y";46;634.958695652174;504.608695652174;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Eide_Eider_QUAL_hg_F_Y";"DE_Eide";2011;"Y";5;572;300.4;8.6;1;1;572;300.4;8.6;NA;NA;NA;0.8;0.8;19.72;NA;NA;NA;NA;NA;NA;257.254778723073;NA;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Eide_Eider_QUAL_teq_F_S";"DE_Eide";2011;"S";5;662.15;544.84;13.8;1;1;662.15;544.84;13.8;NA;NA;NA;1;1;21.46;NA;NA;21.8551395097674;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes data of all eels sampled for the respective quality indicator within the DCF in the respective year. Samples were likely selected due to pre-defined criteria (e.g. large silver eels), depending on the intention of sampling"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";2011;"S";14;620;591.785714285714;8.28571428571429;0.714285714285714;1;716;790.4;9.5;380;95.25;5.25;0.642857142857143;0.642857142857143;23.4428571428571;27.6;NA;65.2124391836593;NA;NA;219.374;324.524508915636;3.408;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";2012;"S";1;390;114;5;0;1;NA;NA;NA;390;114;5;1;1;31.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";2013;"S";20;740;782.7;12.8;1;1;740;782.7;12.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";2014;"S";15;680.666666666667;749.933333333333;13.1333333333333;1;1;680.666666666667;749.933333333333;13.1333333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";2015;"S";3;520;258.666666666667;6.66666666666667;0.666666666666667;1;585;343.5;8;390;89;4;NA;NA;27.0666666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";2016;"S";7;585.714285714286;383.428571428571;NA;0.857142857142857;1;616.666666666667;429.666666666667;NA;400;106;NA;NA;NA;24.1571428571429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_S";"DE_Elbe";2017;"S";119;637.400672268908;494.512605042017;NA;0.873949579831933;NA;669.82125;548.134615384615;NA;412.618;122.733333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";2011;"Y";119;570.161764705882;351.530789915966;8.82456140350877;0.930434782608696;0.966386554621849;590.647196261682;378.650130841121;9.14563106796117;385;103.625;5.57142857142857;0.801724137931034;0.801724137931034;23.2075630252101;27.3846153846154;NA;61.9162047107428;NA;NA;108.699259259259;413.581184346218;50.0348148148148;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";2012;"Y";101;434.455445544554;166.039603960396;6.07;0.894736842105263;0.767676767676768;471.617647058824;208.014705882353;6.46268656716418;350;80.75;5.875;0.802083333333333;0.802083333333333;19.9350515463918;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";2013;"Y";76;543.082236842105;333.355947368421;8.45333333333333;0.973684210526316;1;548.189189189189;340.221243243243;8.56164383561644;354.125;79.34;4.5;0.8;0.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";2014;"Y";58;382.413793103448;79.3793103448276;4.64;0.706896551724138;1;393.170731707317;85;4.74285714285714;356.470588235294;65.8235294117647;4.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";2015;"Y";36;511.388888888889;275.388888888889;7.44444444444444;0.972222222222222;1;514.285714285714;279.342857142857;7.48571428571429;410;137;6;NA;NA;25.1828571428571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
"DE_Elbe_Elbe_DCF_F_Y";"DE_Elbe";2016;"Y";69;485.652173913043;224.202898550725;NA;1;1;485.652173913043;224.202898550725;NA;NA;NA;NA;NA;NA;26.9057971014493;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not necessarily representative for EMU, summarizes all landings sub-samples from single or multiple fishermen in this EMU, which are considered representative of these catches. Hence, quality data does not comprise all available quality data in this EMU, these are reported in seperate (QUAL) series"
