Lfd. Nr.;Relevent WP years;FGE;series;Fangort bzw. Strom km;Habitat;Fangdatum;Toetungs-datum;Bearbeitungs-datum;Fangmonat;Fangjahr;Quartal;gear;Masse (g) gemessen;Laenge (cm) gemessen;G/B;Kopf;Neuromast;Auge v (mm);Auge h (mm);Brustfl.  (mm);Fett (%-Fatmeter Eel-1, ggf. korrigiert (aus eel-2?));Fett (%, Eel-2);Fett (%, keine Angabe des Programms) ;Otolithen;Sex;Leber (g);Eingeweide (g);Gonadengewicht (g);Schwimmblase (binär);Gewicht Schwimmblase (g);Galle (binär);Muskel;Hirn;TK;representative ;Bemerkungen;Wissenschaftler/Protokollant;Lagerung;Hälterung;Extra ID (Polen ID, Florian Id);Fett % (Labor);Fett (% hinter Anus);Muskel (binär);Muskelgewicht (g);DNA /Gewebeprobe (binär);Fettbeprobung (binär);Vollbeprobung;Leber Histo #;Blut Nr. ;Length (mm)  corrected;Length (cm) corrected;Length class (1cm);Length class (2cm);Length class (5cm);Length class (10cm);Mass (g) corrected;eye_diam_avg ;S1;SF2;SF3;SF4;SF5;SM2 (6);Stage (s.i.);Y/S nach Durif;Pankhurst ;Y/S nach Pankhurst;GSI;HSI;Age (y);Quality of age reading;PCB  (pg TEQ/g ww);Quecksilber Muskel (µg/kg ww);Quecksilber Leber;Pb Muskel (µg/kg dw) ;Cd Muskel (µg/kg dw);PAHs Pyr/380 (regional);PAHs Pyr/ml (physiologisch);A380;EROD;GST;Pseudodactylogyrus (n gesamt);Anguillicola cr. (n gesamt);Hartmannklasse
6154;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;86.5;35;G;NA;NA;4.8;4.1;14.5;11.8;NA;NA;2;f;1.13;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;350;35;35;34;35;30;86.5;4.45;47.66;42.93;35.67;25.90;26.78;40.04;1;y;4.443670609;y;#WERT!;1.306358382;;;;;;;;;;;;;;;
6155;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;78.8;36;G;NA;NA;4.7;5.5;14.6;9;NA;NA;2;f;0.91;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;360;36;36;36;35;30;78.8;5.1;54.58;51.15;45.49;36.92;38.56;50.77;1;y;5.674501731;y;#WERT!;1.154822335;;;;;;;;;;;;;;;
6156;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;121.6;41;G;NA;NA;4.8;4.1;17.1;9.3;NA;NA;2;f;1.07;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;410;41;41;40;40;40;121.6;4.45;59.99;57.88;51.09;38.56;41.26;49.90;1;y;3.793377349;y;#WERT!;0.879934211;;;;;;;;;;;;;;;
6157;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;56.4;33;G;NA;NA;5.2;3.8;12.2;7.5;NA;NA;1;f;0.48;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;330;33;33;32;30;30;56.4;4.5;44.94;39.38;31.63;22.42;22.47;37.65;1;y;4.81948873;y;#WERT!;0.85106383;;;;;;;;;;;;;;;
6158;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;115.4;41;G;NA;NA;4.5;4.9;14.1;17.1;NA;NA;2;f;1.21;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;410;41;41;40;40;40;115.4;4.7;60.20;57.80;50.60;38.56;39.77;49.79;1;y;4.231572056;y;#WERT!;1.048526863;;;;;;;;;;;;;;;
6159;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;124.5;39;G;NA;NA;5.2;5.8;16.2;17.7;NA;NA;2;f;1.08;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;390;39;39;38;35;30;124.5;5.5;60.11;58.01;53.62;45.60;47.52;57.70;1;y;6.09187037;y;#WERT!;0.86746988;;;;;;;;;;;;;;;
6160;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;123.3;41;G;NA;NA;5.1;6.7;15.6;14;NA;NA;2;f;1.68;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;410;41;41;40;40;40;123.3;5.9;66.93;66.02;62.30;54.22;56.43;65.47;1;y;6.668221968;s;#WERT!;1.362530414;;;;;;;;;;;;;;;
6161;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;124.4;42;G;NA;NA;4.2;6.6;15.6;10.4;NA;NA;2;f;1.21;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;420;42;42;42;40;40;124.4;5.4;66.46;65.43;60.41;50.19;52.45;61.00;1;y;5.452907249;y;#WERT!;0.97266881;;;;;;;;;;;;;;;
6162;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;70.4;34;G;NA;NA;4.6;3.7;14;10.4;NA;NA;2;f;0.6;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;340;34;34;34;30;30;70.4;4.15;45.01;39.68;31.59;21.11;21.89;35.84;1;y;3.978388197;y;#WERT!;0.852272727;;;;;;;;;;;;;;;
6163;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;85;36;G;NA;NA;4.2;4.7;12.6;11.3;NA;NA;2;f;0.99;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;360;36;36;36;35;30;85;4.45;49.08;44.39;36.41;25.90;25.94;39.52;1;y;4.320235314;y;#WERT!;1.164705882;;;;;;;;;;;;;;;
6164;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;86.3;37;G;NA;NA;4.8;5;14;13.9;NA;NA;2;f;1.15;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;370;37;37;36;35;30;86.3;4.9;54.72;51.24;44.80;35.15;36.36;48.44;1;y;5.096597271;y;#WERT!;1.332560834;;;;;;;;;;;;;;;
6165;before 2020;Schlei/Trave;Schlei;Pagaroe;M;29.08.2019;NP;04.11.2019;8;2019;4;Aalreuse;82.2;36;G;NA;NA;5.2;5.2;15.8;12.3;NA;NA;2;f;0.66;NA;NA;1;NA;NA;NA;NA;NA;0;Schwimmblase entnommen;M.F.;NA;NA;;;;;;;;;;;360;36;36;36;35;30;82.2;5.2;55.51;52.39;47.38;39.26;41.53;53.15;1;y;5.899212872;y;#WERT!;0.802919708;;;;;;;;;;;;;;;
